image_path,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
18.png,0.9993535120694692;0.030334203653285534;0.01929751287441979;-0.024319349766657283;0.17504523113224824;0.9842599942519177;0.026478805512038968;-0.984092985010349;0.17566977461156158,-0.0120476150349608;-0.01150826309024198;0.4148566587705211,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00536.png,0.9074442925125855;-0.23484471662434964;0.34841471705420557;0.193020244659053;0.9695394456345581;0.15078610184759467;-0.3732131309829445;-0.06957889358320371;0.9251328209666139,0.252049327603367;-1.486539389369994;2.9192567901430597,885.1589971154241;0.0;290.0;0.0;885.1589971154241;512.0;0.0;0.0;1.0,lizard,lizard
00458.png,0.15715872294603273;-0.40271068857040504;0.9017345713196996;0.9330063865996316;0.35985479709697266;-0.0018993605753617748;-0.32372861839242867;0.8416226151413987;0.4322859647458872,-0.40734310493365933;-0.6314913265525139;-0.6252429873301417,700.3162429675202;0.0;288.0;0.0;700.3162429675202;512.0;0.0;0.0;1.0,lizard,lizard
00001.png,-0.13287735089213104;-0.38610781630581703;-0.9128331522285131;0.4096726987359367;0.8172461376058557;-0.40531102930801827;0.9025031243881125;-0.4278194768308991;0.049584329317151066,44.99988140229224;23.519592516025515;64.2402831507784,688.1327008743596;0.0;512.0;0.0;688.1327008743596;384.0;0.0;0.0;1.0,church,church
01087.png,0.6904484459698863;-0.37616726946125423;0.6178827792096435;0.03163765360590079;0.869044470823876;0.4937213450973762;-0.7226894231494481;-0.3213407741269594;0.6119314541281601,1.885625755488813;-0.22527524859340953;-0.9967199393401375,895.3629366929135;0.0;288.0;0.0;895.3629366929135;512.0;0.0;0.0;1.0,pond,pond
dsc_8245.png,0.9943904588314729;-0.040445109885375266;0.09773335393453136;0.10567851518305502;0.3411613636451346;-0.9340454889267956;0.004434728135666019;0.9391342380310452;0.3435217840897584,-0.03593393608148489;0.01066784957314628;0.41321813609891533,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00164.png,-0.8721382067508738;0.1566268309890566;-0.46351157929408443;-0.22777726641521528;0.7084615147025262;0.6679818853006527;0.43300400140158385;0.6881499240715847;-0.582200323574704,1.1794879805675997;0.6370688342747837;6.530177444948499,709.5494980730288;0.0;384.0;0.0;709.5494980730288;512.0;0.0;0.0;1.0,lizard,lizard
dsc_8254.png,0.9995348140545878;0.028199842491478253;-0.011615695257560971;-0.022722918957687282;0.9426154859132587;0.33310616126177206;0.020342675509949098;-0.3326872624552481;0.9428177771728373,-0.035130507298018296;-0.018345559034865483;0.4215493202982492,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
dsc_8252.png,0.9999997098585497;-0.0006243285936699463;0.0004364591893110335;0.0006258207195667587;0.9999939320930133;-0.00342697032104617;-0.00043431698535618176;0.003427242471943946;0.9999940326710931,-0.034922931517490464;-0.013719141592134505;0.415878446725683,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00180.png,-0.9922717283033058;-0.1222853348726653;0.021050275177566483;-0.026703832220878722;0.3761197661445075;0.9261861728940464;-0.12117641088384455;0.9184662314916543;-0.37647849746675943,-6.976119929576967;0.48014572218251106;2.7690279734869128,712.6851130778743;0.0;384.0;0.0;712.6851130778743;512.0;0.0;0.0;1.0,lizard,lizard
palmyre_26.png,0.5798383034124703;0.04517241425540676;0.8134783309259603;-0.020754184995682733;0.9989567106615495;-0.04067866798977911;-0.814467191298037;0.006703970062256083;0.5801708809346531,-1.4316107038373007;1.7954281629064297;49.80817719442605,3280.3537607813314;0.0;2144.0;0.0;3280.3537607813314;1424.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00087.png,0.8287413775585524;0.1755223905692635;0.531394034150934;-0.17209148397630936;0.9834618802258819;-0.05645574625673397;-0.5325150235112477;-0.04466117498929004;0.8452414620588553,-33.916526942454325;20.54160475091494;46.85457461826772,2201.0387404074986;0.0;384.0;0.0;2201.0387404074986;512.0;0.0;0.0;1.0,church,church
3dom_fbk_img_1554.png,0.01591948448470304;-0.9942358284779308;0.10602682389161613;0.9286596532417865;-0.02460027293732292;-0.3701162993063857;0.3705911742804814;0.1043548941938599;0.9229150760515304,4.210366452845919;3.6889779999757972;13.996046289425584,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0324.png,0.23534191863313103;0.938458421040958;-0.2528042193306687;0.3550981189676833;0.15910276665940437;0.9211903362209877;0.9047206791268174;-0.30656500390396046;-0.29580126967556275,0.6923086620935446;-3.126876427897456;17.62539138159978,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00069.png,0.9897575609580201;0.06557864145015338;0.12680462259706216;-0.07711176492277541;0.9931056628721134;0.08828883327938357;-0.12014052703782252;-0.09716266853525786;0.98799072344136,-20.703412038231395;19.356618687166357;31.877625095355985,699.0749557410753;0.0;384.0;0.0;699.0749557410753;512.0;0.0;0.0;1.0,church,church
00046.png,0.8183549030817906;-0.2752838789819062;-0.5044938439412995;0.2780245035064114;0.9578945921811046;-0.07169606488649635;0.5029886957497222;-0.08158882425228631;0.8604333999242028,-18.244318289244088;32.580714167232685;65.87795686909588,1236.8455596843867;0.0;384.0;0.0;1236.8455596843867;512.0;0.0;0.0;1.0,church,church
img_0119.png,-0.056440345232109834;0.10739624824920546;0.9926129826332496;-0.5969164505764831;0.7933126752600514;-0.1197737463007364;-0.8003157117420935;-0.5992670899805321;0.019331746041460485,-4.39817291690373;1.4608159536044198;10.321512913223474,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
23.png,0.9986039554094513;0.03076787997228052;0.042935740387353885;-0.013128779106314067;-0.6427605406065858;0.7659546478730366;0.05116420037268758;-0.7654490348815793;-0.6414592735311281,-0.012335259773497774;0.0024438571721174386;0.4223451354383824,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
dsc_8263.png,0.9888269875151421;0.13773866946706176;0.057002172723264084;-0.009423338740112823;-0.32386807137572593;0.9460553223941807;0.14876958509291613;-0.9360221852481978;-0.3189515312307975,-0.03776684170173861;-0.010510577084970208;0.450524793720941,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
dsc_8255.png,0.9989420765193812;0.043816125628293616;-0.0139597598142837;-0.031422000165722;0.8720056432161851;0.4884862496577692;0.03357656421869673;-0.48753082500909894;0.8724599182777482,-0.0353176126059806;-0.019858841510746655;0.42486967651087143,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00061.png,0.8503545144812302;-0.24795979234812945;-0.46412621244664015;0.2824710081482502;0.9592625647325103;0.005045934850729586;0.4439677119533609;-0.13539303261792746;0.8857547050179403,-13.136396356626534;10.479471830606656;20.946541699924033,757.5343175196515;0.0;384.0;0.0;757.5343175196515;512.0;0.0;0.0;1.0,church,church
00442.png,0.937425140704382;-0.12750207654931378;0.3240020463685108;0.2882694354064301;0.8060982446505143;-0.5168233282097642;-0.1952814332849587;0.5778830681435237;0.7924117120330818,-0.8147243209958057;-0.32424599988182057;-0.3792648642073667,860.5032838385924;0.0;290.0;0.0;860.5032838385924;512.0;0.0;0.0;1.0,lizard,lizard
dscn2022.png,0.8295640032740285;-0.02230492821273857;-0.5579659977537993;0.03199353170348678;0.9994590814557012;0.007613043075170209;0.5574943752192537;-0.024166809329139626;0.8298288901488929,43.352025436219904;6.023572933375239;126.90905215801936,5428.555008245224;0.0;1408.0;0.0;5428.555008245224;1056.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00361.png,0.8832506119416923;-0.14772377277720533;0.4450236437101905;-0.0688325298444515;0.8979486359937329;0.4346841726497611;-0.4638215598048873;-0.41456716473143795;0.7829454812352505,1.7915650743232214;-2.1979299412703783;5.537471658880967,475.9976828753891;0.0;290.0;0.0;475.9976828753891;512.0;0.0;0.0;1.0,pond,pond
00050.png,-0.09898059146402916;-0.5561867492080992;0.8251418923547382;0.4806721247583667;0.6993326925906919;0.5290445099933749;-0.8712962475494248;0.44898784513523304;0.198123102961547,-7.476150253461377;-8.020838436510584;15.472281589173772,891.7598512458605;0.0;288.0;0.0;891.7598512458605;512.0;0.0;0.0;1.0,pond,pond
temple_of_baal_shamin_in_palmyra_2010.png,0.202499409010996;-0.0816208041604589;-0.9758750092498515;0.11889220425311263;0.991198124342572;-0.05823162429130315;0.9720383907634688;-0.10423206142050226;0.21042111171172712,29.039880400841074;1.270658554589793;8.255003375156791,2434.487913871837;0.0;1036.5;0.0;2434.487913871837;759.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
19739127926_d1f03f70ed_o.png,0.9934718274939569;0.03282417656169759;0.1092533816815949;-0.06471266138151988;0.9508633996153087;0.30277230178624137;-0.09394679043340703;-0.307865829063676;0.9467801391359016,-9.19994875913321;-5.959996373933185;-12.067724070072487,1586.5361548667738;0.0;960.0;0.0;1586.5361548667738;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
screenshot_2015_10_11_18_16_38.png,0.6283268405873599;0.018768352712375928;-0.7777230421775934;0.007701989857673384;0.9995098679892108;0.030343090554903328;0.7779113450450117;-0.02505539320494928;0.6278743238273139,16.56056530607016;-0.2482455127699092;8.720050620884086,1056.6164010896757;0.0;480.0;0.0;1056.6164010896757;270.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00413.png,0.9532942324922248;0.3015471036032319;-0.017304641156690767;-0.2530340803097991;0.8285874583802573;0.4994162372377569;0.1649359284656749;-0.47171195461154797;0.8661893392196182,-0.7734052266302415;-1.0824999614460917;0.13632477679054808,904.7653284313413;0.0;290.0;0.0;904.7653284313413;512.0;0.0;0.0;1.0,lizard,lizard
dsc_8235.png,0.9827465189898478;0.08362551628637645;0.1649728839511928;0.11094691637633651;-0.9801933132839228;-0.1640483170900208;0.1479866925095596;0.17952114532645674;-0.972559559729253,-0.038895946421879914;0.0169708628720475;0.44569613624023274,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
palmyra_baalshamin.png,0.8312613928841551;-0.027628472462746603;-0.5551947083768629;0.054865418168286925;0.9979651997663086;0.03248454932134679;0.5531674995781237;-0.057464141555993456;0.8310857897026752,9.13635844405243;0.3358075685041853;1.128207960395159,2380.984630624815;0.0;1136.0;0.0;2380.984630624815;852.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00065.png,0.9784298798535634;-0.12255987935580644;-0.16629505759953145;0.17462840237032032;0.9207628819403137;0.34885618286990033;0.1103625448027129;-0.37037115332225595;0.9223043518770857,-20.186063120841037;10.280033072354284;10.499670949086802,712.685262047588;0.0;384.0;0.0;712.685262047588;512.0;0.0;0.0;1.0,church,church
00058.png,-0.6590363658489289;-0.2997488026259459;-0.6897983211149102;0.06770136826135059;0.8897833955994146;-0.45133361679706163;0.7490578036601568;-0.3441455567632504;-0.5661062113560797,6.738865627366807;0.23159877490771819;8.531929621383975,2258.442115088994;0.0;384.0;0.0;2258.442115088994;512.0;0.0;0.0;1.0,church,church
00082.png,0.9906874671597796;0.05465918717942715;0.12470250867334172;-0.04847381589942139;0.9974642308545316;-0.0521094745504755;-0.12723455342276138;0.04557939690981001;0.9908248518243012,-26.87929734735387;19.25749212061745;46.71452142842715,735.4930501772242;0.0;384.0;0.0;735.4930501772242;512.0;0.0;0.0;1.0,church,church
00302.png,0.9243127364025461;0.2669815988366969;-0.2727027524735283;-0.31587318338237635;0.9362087417570065;-0.15406921781344338;0.21417305466356193;0.2285476268534933;0.9496819914664674,-0.4277258603558575;-0.739827187736278;-0.6236127674669819,903.1579834977399;0.0;288.0;0.0;903.1579834977399;512.0;0.0;0.0;1.0,lizard,lizard
00034.png,0.8760554941809978;-0.23612816436061151;-0.4204405559778644;0.18839064464519895;0.9702060361157354;-0.1523457006113357;0.44388707587116577;0.05425622065975833;0.8944386655295407,15.419812887875763;3.276879013203231;13.595808615020065,759.4233003844838;0.0;384.0;0.0;759.4233003844838;512.0;0.0;0.0;1.0,church,church
dioscuria_147.png,-0.20795767584810165;0.1096641682527143;0.9719708716094824;0.6217022265013589;0.7819720599880179;0.04478882630019365;-0.7551423353375901;0.613590635195434;-0.23079554974339267,-24.74104546340323;-14.639129594964434;122.14509152678468,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
dsc_8232.png,0.9832610041546399;0.12380050946650059;0.13368332567917315;0.0657051808653887;-0.9252638200860146;0.37359027349127;0.1699430107896631;-0.358553060362996;-0.9179101677114565,-0.03892246051660544;0.0068885965091352724;0.45231901465418567,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
img_0272.png,0.1880221870342511;0.9769039865870575;0.1015197427753422;-0.6063182324826351;0.03413328162994733;0.794489219589734;0.7726744839465005;-0.21093487164403463;0.5987325127154228,1.281878634592457;-5.517573715993269;19.40180286039238,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0353.png,-0.5966503817079818;-0.16349730691490355;-0.7856697478198414;0.43649800897466035;0.7554177040787075;-0.48868556406508634;0.6734076107149939;-0.6345177089695985;-0.3793540125464536,2.7425102799121532;6.91804454419397;16.791222160798345,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
archive_0010.png,-0.5959200957851276;-0.1257262195181123;0.7931406919110432;-0.7940463675678526;0.23968603179215608;-0.558606276652911;-0.11987328973438383;-0.9626751912713931;-0.2426661709403346,-5.090273080535139;3.7519963686716626;6.7014197209499615,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0311.png,0.30409770623692123;0.9334531780153488;-0.1902360363193285;0.09416431175065182;0.1692621260067474;0.9810623910293383;0.947975562688179;-0.3162522682175129;-0.036425751787837246,1.5519634816204233;-3.554466631473446;17.382184627131533,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
25.png,0.8499874982956775;0.02129966536560156;0.5263720898721446;-0.08640101618884932;0.991288497934193;0.09940813983223563;-0.5196692382107967;-0.12997475954463047;0.8444231431804351,-25.07898973667976;-0.8084425737142936;10.24497515783774,649.773797861417;0.0;250.0;0.0;649.773797861417;187.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00085.png,0.7493702908559021;0.18496506836666288;0.6357924902565746;-0.13323989444500772;0.9826738355660729;-0.1288381287590984;-0.6486071983186927;0.011834541730821137;0.7610313041598207,-27.08833483824013;16.62029705518723;52.27630345655369,689.3495988485595;0.0;384.0;0.0;689.3495988485595;512.0;0.0;0.0;1.0,church,church
00360.png,0.8067928871272175;-0.24351701280817867;0.5383165441948726;-0.03366711095922087;0.8906839700727754;0.4533746696663355;-0.5898743619793866;-0.38390302151504446;0.7103989774422756,2.71827611105171;-2.121875432900667;5.186776207682418,475.7401177075399;0.0;290.0;0.0;475.7401177075399;512.0;0.0;0.0;1.0,pond,pond
archive_0015.png,0.495868420683819;0.12530749732828197;0.8593093392264847;-0.5174420551859289;0.8373198310953783;0.1764914161634194;-0.697401053120439;-0.5321593103270201;0.48003983120025884,-1.7428106148995506;0.7482929002167481;9.131037261846185,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
5741.png,0.920896518002554;-0.25750665115546517;0.2926430039168353;0.3897216873067665;0.6239293696866387;-0.67736928486993;-0.008161468834607638;0.7378363411035885;0.6749303106049769,-51.743304417074924;15.176650126605457;-4.3438640578726435,64.6195600135747;0.0;300.0;0.0;64.6195600135747;199.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
19577300988_4e4ff423a7_o.png,0.8708626353900801;-0.027611634703398467;-0.4907503111669426;0.1233285027442382;0.9787567833285928;0.16378412468591394;0.47580284855421934;-0.20315697555652049;0.8557680133017467,7.459570487146755;-3.8965064292374043;-11.975706734402127,1565.239827808559;0.0;960.0;0.0;1565.239827808559;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
10.png,0.9999943498849185;-0.0022025777953137;0.0025394584648806015;0.002227489511654928;0.9999490152730544;-0.00984911899230086;-0.0025176355404883353;0.009854719960740907;0.99994827166498,-0.011420845105457251;-0.009646912863820358;0.39059859947730585,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
hpim3190.png,0.9987884469338351;-0.020999535721690905;-0.04450458146046219;0.02439454135386637;0.996719609606899;0.07716816816022809;0.04273809335513216;-0.07816034368235701;0.9960243049503479,-6.944985758759351;0.5408474849622638;0.7771430881615444,2459.433352436413;0.0;1152.0;0.0;2459.433352436413;864.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00493.png,0.9176275007381177;-0.06164430120941072;0.39263182501870525;-0.09299862839116793;0.9271690582612684;0.3629170601119133;-0.3864078480135687;-0.36953689603518086;0.8450629902333948,-2.98465415073562;-5.10389430022301;9.044753517445864,893.5790194719266;0.0;288.0;0.0;893.5790194719266;512.0;0.0;0.0;1.0,pond,pond
dsc_8243.png,0.9914933561194292;-0.02780001609114953;0.1271537804249725;0.12717615967382184;-0.0009688045760483099;-0.9918796730593442;0.027697458035871467;0.999613035390708;0.002574935984812843,-0.036592654816136994;0.016570032141988465;0.4179262966431753,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00093.png,0.9144746511992803;-0.3120999132002414;0.25754563963374816;0.28333991679633147;0.9482845457987387;0.14309057183870588;-0.2888851049531675;-0.057879740667021964;0.9556125426952682,-1.3353714225134978;-1.126122935087842;1.200718921475219,869.649830535269;0.0;288.0;0.0;869.649830535269;512.0;0.0;0.0;1.0,lizard,lizard
archive_0054.png,-0.9764003472074825;0.035243554473470454;-0.2130733531936453;0.20073298934888278;0.5120861256848374;-0.8351491285202628;0.07967828411913554;-0.8582107501943614;-0.5070756149635498,-0.3071216030638756;4.6388593558125635;3.530002978499711,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0105.png,0.05061110572111893;0.10626014835821689;0.9930494936550623;-0.06484986443871947;0.9925750366488386;-0.10290428418601608;-0.9966107620630863;-0.05919102543837526;0.05712627633224643,-3.9993462807902356;-3.540963340149535;31.19840386683663,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
19.png,0.9991858310238875;0.03250499356519021;0.02389770856024913;-0.023946441511167506;0.00111072427692116;0.9997126258233078;0.032469108704365375;-0.9994709558986232;0.0018881988869035582,-0.012174502709115017;-0.009365219669191986;0.41736556344768144,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00933.png,-0.9848039485058244;-0.12822255574965588;-0.11713308330426654;-0.16697872573054576;0.5136711624019574;0.8415818689052332;-0.04774189104697292;0.8483518804798209;-0.5272758279360159,4.983916997239523;-4.341551890595034;22.94968899077267,744.2269099696864;0.0;288.0;0.0;744.2269099696864;512.0;0.0;0.0;1.0,pond,pond
01109.png,0.625361534626009;0.5761136551993807;-0.5263231016239094;-0.5983405098283044;0.7869807068075597;0.15049917412091796;0.5009107558324213;0.22080403847186025;0.8368596007012823,-6.081532097108639;-2.713419417327155;2.106384546368915,898.1929614231498;0.0;288.0;0.0;898.1929614231498;512.0;0.0;0.0;1.0,pond,pond
archive_0003.png,0.8440634235393212;0.0665336606219875;0.5320998111701589;-0.05767176869050281;0.9977807984104536;-0.033278302533433175;-0.5331331017102481;-0.002598139264118759;0.8460273905336484,0.18255409167955544;-0.5762471357193341;29.875222342340123,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
8100208.png,0.8705771628077961;-0.027862548609349728;-0.4912423861827482;0.12310965093667911;0.9789737169571323;0.16264831801585353;0.4763815880612702;-0.20207458992196128;0.8557023096054457,7.469313159745699;-3.8675948118637438;-11.954670375071021,539.1941823222774;0.0;330.0;0.0;539.1941823222774;247.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dsc_8244.png,0.9929824441751922;-0.03532071491737972;0.1128641336190862;0.11731871037055035;0.17391561373530856;-0.9777472472454537;0.014905896714142199;0.9841269259586369;0.17683893193058814,-0.03624955175921099;0.013797908255509894;0.4152969053176505,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00098.png,0.8077612704075079;0.19391610343086954;0.5567030401029236;-0.2556673662368889;0.9661516194962247;0.034427401678236796;-0.5311835161892184;-0.17013992175562573;0.8299978790056322,-22.182859714969286;27.472703009052005;40.88146128797834,10237.29937424063;0.0;384.0;0.0;10237.29937424063;512.0;0.0;0.0;1.0,church,church
00043.png,0.6590057751895272;-0.334916256718593;0.6734556327275434;0.12554237470893936;0.931807767712236;0.3405486693316831;-0.7415864753481489;-0.13987632042896064;0.6561128824859058,-0.2831487285435154;-0.3765572282600242;0.6499912406358872,717.726202463131;0.0;384.0;0.0;717.726202463131;512.0;0.0;0.0;1.0,lizard,lizard
00059.png,0.8067179393726958;-0.2134849658799879;-0.5510266197176794;0.34464644434861924;0.9274259941050532;0.14525788741444598;0.4800260354315438;-0.3070915088397499;0.8217480212975266,-14.88291718053739;13.608055413259224;16.1451299190146,2165.580454697178;0.0;384.0;0.0;2165.580454697178;512.0;0.0;0.0;1.0,church,church
00356.png,0.24703505996147812;0.35235387625809295;0.9026740414101457;0.9138790195185682;0.2250057372636598;-0.3379312886996668;-0.3221782376784776;0.9084157440755491;-0.2664245091617081,-1.2365613572255847;-0.4692102894128521;-0.3284617763492823,894.1363783793306;0.0;288.0;0.0;894.1363783793306;512.0;0.0;0.0;1.0,lizard,lizard
00054.png,0.570084562329453;-0.3194390575466877;0.7569427193039906;-0.011204280364982055;0.9182104396612806;0.3959344044138381;-0.821509620086788;-0.23419709009874934;0.519878511860357,-16.16664170421921;2.2553632225634654;8.44741132850709,880.0384768109678;0.0;288.0;0.0;880.0384768109678;512.0;0.0;0.0;1.0,pond,pond
image6.png,-0.8237250805951744;-0.00773022008007288;-0.5669367118964754;0.05817951858315828;0.993476699362947;-0.09807747672292899;0.563996573762559;-0.11377298238342165;-0.8179019337693707,20.500094719328946;2.515704486401278;49.098853213002826,5258.3004448042675;0.0;1297.5;0.0;5258.3004448042675;1936.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
img_0133.png,-0.43884402911341436;0.7851607697444147;-0.43696508300533937;0.6453259516158969;-0.06300141941551529;-0.7613049568488751;-0.625276206394056;-0.6160790426609143;-0.479036824170616,1.4429227776398108;6.702572607643926;11.281434047715774,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00251.png,0.18870450240333325;0.5318291553879101;-0.8255594226051163;-0.790255923202403;0.5813081220280243;0.1938464420817917;0.582997587144431;0.6158235272735477;0.5299766000873414,1.499695363288171;-1.6939343155707483;3.178671414757883,880.5074766949679;0.0;290.0;0.0;880.5074766949679;512.0;0.0;0.0;1.0,lizard,lizard
00664.png,0.9878432751107812;0.007850034993925191;-0.15525476085775783;0.004758406683237527;0.9967292362966421;0.08067333560321872;0.15538024772873268;-0.08043137734806478;0.9845749195229639,-0.4161208459176422;-0.6605260244500747;0.677877964847444,875.6633353444897;0.0;290.0;0.0;875.6633353444897;512.0;0.0;0.0;1.0,lizard,lizard
00312.png,0.9871264737209297;0.15077606670560387;0.05336574358209662;-0.14502444804275968;0.9844733996559543;-0.09889405866754876;-0.06744801219588081;0.08988160589706314;0.9936659713264762,-0.5498267174990606;-0.9192147104349868;-0.5195398947114068,913.946787771275;0.0;288.0;0.0;913.946787771275;512.0;0.0;0.0;1.0,lizard,lizard
00346.png,0.9884196562803543;0.1491849324610317;0.027756783048896935;-0.1511806373955858;0.9838913730771026;0.09540535027511814;-0.013076618648967883;-0.0984968116796223;0.9950514459733519,-4.228603294402877;-5.799034186009656;6.528314333913453,895.2171442164814;0.0;290.0;0.0;895.2171442164814;512.0;0.0;0.0;1.0,pond,pond
00483.png,0.9997608360685667;-0.0076629971190295115;0.0204828986873038;-0.00252322297287942;0.8899278559135978;0.45609433740713756;-0.021723351705244285;-0.4560369390128177;0.8896956818185137,-1.305017983134876;-1.8290804092897428;7.87239485565604,843.951337172971;0.0;288.0;0.0;843.951337172971;512.0;0.0;0.0;1.0,lizard,lizard
00163.png,0.9246114231594305;0.3717296183464881;-0.08313126371628793;-0.2657517355143316;0.7858791715730711;0.5583636295092512;0.2728914275572127;-0.4941771125129106;0.8254206504771907,20.007385847156904;-0.706084204624543;-0.790181642570373,2282.715700767351;0.0;512.0;0.0;2282.715700767351;384.0;0.0;0.0;1.0,pond,pond
00222.png,-0.04557497830753077;0.49583173716223206;-0.8672218918909692;-0.63125256475087;0.6585384749093055;0.40969168475766626;0.7742371218481566;0.5661077331098822;0.2829821790598719,2.3924722949827673;-0.7265930127352799;4.959427278974529,884.9391824585532;0.0;290.0;0.0;884.9391824585532;512.0;0.0;0.0;1.0,lizard,lizard
img_0168.png,0.9883209152105763;-0.05758476017474902;0.14108778810707037;0.06425378677807292;0.9969992022767837;-0.04317454741088478;-0.13817821623543594;0.05173573286494969;0.9890552029603401,1.839541893475241;-0.7160899588667087;36.46877495360756,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
dsc_8233.png,0.9827745839818626;0.11280443465507181;0.14638741954630838;0.0819563064659574;-0.9759787958257666;0.20186271059545602;0.16564202639950812;-0.18638816920780243;-0.9684121898600969,-0.038979559188882885;0.010407252510434496;0.45076736964156705,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
archive_0025.png,-0.9568254895610138;0.060016680043550694;0.2843993330563143;-0.28618422913591085;-0.023419372233409508;-0.957888365102154;-0.05082882568199666;-0.9979226077811562;0.03958407961600363,-4.276438548965503;6.580115251790633;0.7258003691001366,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
